"Date_Published","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key"
"02-24-2020",NA,NA,"Hubei","China",2020-02-24 11:13:09,30.9756,112.2707,64287,2495,16748,45044,"Hubei, China"
"02-24-2020",NA,NA,"Guangdong","China",2020-02-24 10:23:02,23.3417,113.4244,1345,6,786,553,"Guangdong, China"
"02-24-2020",NA,NA,"Henan","China",2020-02-24 13:23:05,33.882,113.614,1271,19,943,309,"Henan, China"
"02-24-2020",NA,NA,"Zhejiang","China",2020-02-24 09:43:02,29.1832,120.0934,1205,1,782,422,"Zhejiang, China"
"02-24-2020",NA,NA,"Hunan","China",2020-02-24 14:13:11,27.6104,111.7088,1016,4,731,281,"Hunan, China"
"02-24-2020",NA,NA,"Anhui","China",2020-02-24 09:43:02,31.8257,117.2264,989,6,663,320,"Anhui, China"
"02-24-2020",NA,NA,"Jiangxi","China",2020-02-24 01:23:09,27.614,115.7221,934,1,645,288,"Jiangxi, China"
"02-24-2020",NA,NA,NA,"South Korea",2020-02-24 11:13:10,35.907757,127.766922,833,8,18,807,"South Korea"
"02-24-2020",NA,NA,"Shandong","China",2020-02-24 10:23:02,36.3427,118.1498,755,5,343,407,"Shandong, China"
"02-24-2020",NA,NA,"Diamond Princess cruise ship","Others",2020-02-23 22:33:03,NA,NA,691,3,0,688,"Diamond Princess cruise ship, Others"
"02-24-2020",NA,NA,"Jiangsu","China",2020-02-24 14:53:02,32.9711,119.455,631,0,452,179,"Jiangsu, China"
"02-24-2020",NA,NA,"Chongqing","China",2020-02-24 23:23:01,30.0572,107.874,576,6,349,221,"Chongqing, China"
"02-24-2020",NA,NA,"Sichuan","China",2020-02-24 14:13:11,30.6171,102.7103,527,3,276,248,"Sichuan, China"
"02-24-2020",NA,NA,"Heilongjiang","China",2020-02-24 14:53:02,47.862,127.7615,480,12,227,241,"Heilongjiang, China"
"02-24-2020",NA,NA,"Beijing","China",2020-02-24 00:53:02,40.1824,116.4142,399,4,198,197,"Beijing, China"
"02-24-2020",NA,NA,"Shanghai","China",2020-02-24 07:03:06,31.202,121.4491,335,3,261,71,"Shanghai, China"
"02-24-2020",NA,NA,"Hebei","China",2020-02-24 14:13:11,37.8957,114.9042,311,6,234,71,"Hebei, China"
"02-24-2020",NA,NA,"Fujian","China",2020-02-24 10:23:02,26.0789,117.9874,293,1,183,109,"Fujian, China"
