"Date_Published","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key"
"02-08-2020",NA,NA,"Hubei","China",2020-02-08 23:33:06,30.9756,112.2707,27100,780,1439,24881,"Hubei, China"
"02-08-2020",NA,NA,"Guangdong","China",2020-02-08 11:53:01,23.3417,113.4244,1095,1,112,982,"Guangdong, China"
"02-08-2020",NA,NA,"Zhejiang","China",2020-02-08 10:53:02,29.1832,120.0934,1048,0,175,873,"Zhejiang, China"
"02-08-2020",NA,NA,"Henan","China",2020-02-08 14:13:12,33.882,113.614,981,4,116,861,"Henan, China"
"02-08-2020",NA,NA,"Hunan","China",2020-02-08 12:53:01,27.6104,111.7088,803,1,156,646,"Hunan, China"
"02-08-2020",NA,NA,"Anhui","China",2020-02-08 07:43:02,31.8257,117.2264,733,0,59,674,"Anhui, China"
"02-08-2020",NA,NA,"Jiangxi","China",2020-02-08 01:23:02,27.614,115.7221,698,0,55,643,"Jiangxi, China"
"02-08-2020",NA,NA,"Jiangsu","China",2020-02-08 10:23:04,32.9711,119.455,439,0,51,388,"Jiangsu, China"
"02-08-2020",NA,NA,"Chongqing","China",2020-02-08 11:03:15,30.0572,107.874,428,2,39,387,"Chongqing, China"
"02-08-2020",NA,NA,"Shandong","China",2020-02-08 11:33:02,36.3427,118.1498,416,0,44,372,"Shandong, China"
"02-08-2020",NA,NA,"Sichuan","China",2020-02-08 15:23:04,30.6171,102.7103,364,1,60,303,"Sichuan, China"
"02-08-2020",NA,NA,"Beijing","China",2020-02-08 03:13:09,40.1824,116.4142,315,2,34,279,"Beijing, China"
"02-08-2020",NA,NA,"Heilongjiang","China",2020-02-08 04:03:09,47.862,127.7615,295,5,13,277,"Heilongjiang, China"
"02-08-2020",NA,NA,"Shanghai","China",2020-02-08 06:33:02,31.202,121.4491,286,1,41,244,"Shanghai, China"
"02-08-2020",NA,NA,"Fujian","China",2020-02-08 08:13:10,26.0789,117.9874,239,0,24,215,"Fujian, China"
"02-08-2020",NA,NA,"Hebei","China",2020-02-08 11:33:02,37.8957,114.9042,195,1,30,164,"Hebei, China"
"02-08-2020",NA,NA,"Shaanxi","China",2020-02-08 10:13:06,35.1917,108.8701,195,0,20,175,"Shaanxi, China"
"02-08-2020",NA,NA,"Guangxi","China",2020-02-08 00:23:03,23.8298,108.7881,183,0,17,166,"Guangxi, China"
"02-08-2020",NA,NA,"Yunnan","China",2020-02-08 08:43:02,24.974,101.487,138,0,17,121,"Yunnan, China"
"02-08-2020",NA,NA,"Hainan","China",2020-02-08 10:23:04,19.1959,109.7453,124,2,14,108,"Hainan, China"
"02-08-2020",NA,NA,"Shanxi","China",2020-02-08 23:53:02,37.5777,112.2922,115,0,21,94,"Shanxi, China"
"02-08-2020",NA,NA,"Liaoning","China",2020-02-08 11:53:01,41.2956,122.6085,105,0,8,97,"Liaoning, China"
"02-08-2020",NA,NA,"Guizhou","China",2020-02-08 06:43:03,26.8154,106.8748,89,1,7,81,"Guizhou, China"
"02-08-2020",NA,NA,"Tianjin","China",2020-02-08 08:23:04,39.3054,117.323,88,1,4,83,"Tianjin, China"
"02-08-2020",NA,NA,"Gansu","China",2020-02-08 15:13:14,35.7518,104.2861,79,1,12,66,"Gansu, China"
"02-08-2020",NA,NA,"Jilin","China",2020-02-08 00:13:04,43.6661,126.1923,69,1,4,64,"Jilin, China"
"02-08-2020",NA,NA,"Cruise Ship","Others",2020-02-07 16:33:03,NA,NA,61,0,0,61,"Cruise Ship, Others"
"02-08-2020",NA,NA,"Inner Mongolia","China",2020-02-08 03:33:02,44.0935,113.9448,52,0,5,47,"Inner Mongolia, China"
"02-08-2020",NA,NA,"Ningxia","China",2020-02-08 09:13:16,37.2692,106.1655,45,0,15,30,"Ningxia, China"
"02-08-2020",NA,NA,"Xinjiang","China",2020-02-08 03:23:10,41.1129,85.2401,42,0,0,42,"Xinjiang, China"
"02-08-2020",NA,NA,NA,"Singapore",2020-02-08 12:53:01,1.2833,103.8333,33,0,2,31,"Singapore"
"02-08-2020",NA,NA,NA,"Thailand",2020-02-08 12:53:01,15.870032,100.992541,32,0,10,22,"Thailand"
"02-08-2020",NA,NA,"Hong Kong","China",2020-02-08 00:03:07,22.3,114.2,26,1,0,25,"Hong Kong, China"
"02-08-2020",NA,NA,NA,"Japan",2020-02-07 04:13:20,36.204824,138.252924,25,0,1,24,"Japan"
"02-08-2020",NA,NA,NA,"South Korea",2020-02-07 03:03:03,35.907757,127.766922,24,0,1,23,"South Korea"
"02-08-2020",NA,NA,"Qinghai","China",2020-02-06 02:13:15,35.7452,95.9956,18,0,3,15,"Qinghai, China"
"02-08-2020",NA,NA,"Taiwan","Taiwan",2020-02-08 05:23:02,NA,NA,17,0,1,16,"Taiwan, Taiwan"
"02-08-2020",NA,NA,NA,"Germany",2020-02-07 16:33:03,51.165691,10.451526,13,0,0,13,"Germany"
"02-08-2020",NA,NA,NA,"Vietnam",2020-02-08 07:23:04,14.058324,108.277199,13,0,1,12,"Vietnam"
"02-08-2020",NA,NA,NA,"France",2020-02-08 09:53:01,46.2276,2.2137,11,0,0,11,"France"
"02-08-2020",NA,NA,"Macau","China",2020-02-06 14:23:04,22.1667,113.55,10,0,1,9,"Macau, China"
"02-08-2020",NA,NA,NA,"United Arab Emirates",2020-02-08 07:03:16,23.424076,53.847818,7,0,0,7,"United Arab Emirates"
"02-08-2020",NA,NA,"Queensland","Australia",2020-02-07 01:03:02,-27.4698,153.0251,5,0,0,5,"Queensland, Australia"
"02-08-2020",NA,NA,"New South Wales","Australia",2020-02-06 03:13:22,-33.8688,151.2093,4,0,2,2,"New South Wales, Australia"
"02-08-2020",NA,NA,"Victoria","Australia",2020-02-01 18:12:49,-37.8136,144.9631,4,0,0,4,"Victoria, Australia"
"02-08-2020",NA,NA,"British Columbia","Canada",2020-02-07 05:43:03,53.7267,-127.6476,4,0,0,4,"British Columbia, Canada"
"02-08-2020",NA,NA,NA,"India",2020-02-03 21:43:02,20.593684,78.96288,3,0,0,3,"India"
"02-08-2020",NA,NA,NA,"Italy",2020-02-07 17:53:02,41.87194,12.56738,3,0,0,3,"Italy"
"02-08-2020",NA,NA,NA,"Philippines",2020-02-07 16:43:04,12.879721,121.774017,3,1,0,2,"Philippines"
"02-08-2020",NA,NA,"Unknown","United Kingdom",2020-02-07 18:33:02,NA,NA,3,0,0,3,"Unknown, United Kingdom"
"02-08-2020",NA,NA,"South Australia","Australia",2020-02-02 22:33:07,-34.9285,138.6007,2,0,0,2,"South Australia, Australia"
"02-08-2020",NA,"Toronto","Ontario","Canada",2020-02-04 00:13:06,NA,NA,2,0,0,2,"Toronto, Ontario, Canada"
"02-08-2020",NA,NA,NA,"Russia",2020-01-31 16:13:45,61.52401,105.318756,2,0,0,2,"Russia"
"02-08-2020",NA,"Chicago","Illinois","United States",2020-02-01 19:43:03,NA,NA,2,0,0,2,"Chicago, Illinois, United States"
"02-08-2020","06069","San Benito","California","United States",2020-02-03 03:53:02,36.60308176,-121.069975,2,0,0,2,"San Benito, California, United States"
"02-08-2020","06085","Santa Clara","California","United States",2020-02-03 00:43:02,37.23104908,-121.6970462,2,0,0,2,"Santa Clara, California, United States"
"02-08-2020",NA,NA,NA,"Belgium",2020-02-04 15:43:02,50.8333,4.469936,1,0,0,1,"Belgium"
"02-08-2020",NA,NA,NA,"Cambodia",2020-01-31 08:15:53,11.55,104.9167,1,0,0,1,"Cambodia"
"02-08-2020",NA,"London","Ontario","Canada",2020-02-04 00:03:11,NA,NA,1,0,0,1,"London, Ontario, Canada"
"02-08-2020",NA,NA,NA,"Finland",2020-01-31 08:15:53,61.92411,25.748151,1,0,0,1,"Finland"
"02-08-2020",NA,NA,"Tibet","China",2020-02-01 01:52:40,31.6927,88.0924,1,0,0,1,"Tibet, China"
"02-08-2020",NA,NA,NA,"Nepal",2020-01-31 08:15:53,28.1667,84.25,1,0,0,1,"Nepal"
"02-08-2020",NA,NA,NA,"Spain",2020-02-01 23:43:02,40.463667,-3.74922,1,0,0,1,"Spain"
"02-08-2020",NA,NA,NA,"Sri Lanka",2020-02-08 03:43:03,7.873054,80.771797,1,0,1,0,"Sri Lanka"
"02-08-2020",NA,NA,NA,"Sweden",2020-02-01 02:13:26,60.128161,18.643501,1,0,0,1,"Sweden"
"02-08-2020",NA,"Boston","Massachusetts","United States",2020-02-01 19:43:03,NA,NA,1,0,0,1,"Boston, Massachusetts, United States"
"02-08-2020","06037","Los Angeles","California","United States",2020-02-01 19:53:03,34.30828379,-118.2282411,1,0,0,1,"Los Angeles, California, United States"
"02-08-2020",NA,"Madison","Wisconsin","United States",2020-02-05 21:53:02,NA,NA,1,0,0,1,"Madison, Wisconsin, United States"
